ID,Functionality,Naming_Convention,Code,Colour
WLOOP-FLOOP,WLOOP,FLOOP,"void sum_to_n(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
WLOOP-FIB,WLOOP,FIB,"void fibonacci(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
WLOOP-PRIME,WLOOP,PRIME,"void is_prime(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
WLOOP-FACT,WLOOP,FACT,"void factorial(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
WLOOP-SWAP,WLOOP,SWAP,"void swap(int a) {
    while (a > 0) {
        printf(""%d\a"", a);
        a--;
    }
}",Green
WLOOP-MAX,WLOOP,MAX,"void max(int a) {
    while (a> 0) {
        printf(""%d\a"", a);
        a--;
    }
}",Green
WLOOP-MALLOC,WLOOP,MALLOC,"void allocte_memory(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
FIB-FIB,FIB,FIB,"int fibonacci(int n) {
    if (n <= 1) return n;
    return fibonacci(n - 1) + fibonacci(n - 2);
}",Blue
FIB-ADD,FIB,ADD,"int add(int a) {
    if (a <= 1) return a;
    return add(a - 1) + add(a - 2);
}",Blue
FIB-FLOOP,FIB,FLOOP,"int sum_to_n(int n) {
    if (n <= 1) return n;
    return sum_to_n(n - 1) + sum_to_n(n - 2);
}",Blue
FIB-WLOOP,FIB,WLOOP,"int count_down(int n) {
    if (n <= 1) return n;
    return count_down(n - 1) + count_down(n - 2);
}",Blue
FIB-PRIME,FIB,PRIME,"int is_prime(int n) {
    if (n <= 1) return n;
    return is_prime(n - 1) + is_prime(n - 2);
}",Blue
FIB-FACT,FIB,FACT,"int factorial(int n) {
    if (n <= 1) return n;
    return factorial(n - 1) + factorial(n - 2);
}",Blue
FIB-SWAP,FIB,SWAP,"int swap(int a) {
    if (a <= 1) return a;
    return swap(a - 1) + swap(a - 2);
}",Blue
FIB-MAX,FIB,MAX,"int max(int a) {
    if (a <= 1) return a;
    return max(a - 1) + max(a - 2);
}",Blue
FIB-MALLOC,FIB,MALLOC,"int allocate_array(int n) {
    if (n <= 1) return n;
    return allocate_array(n - 1) + allocate_array(n - 2);
}",Blue
PRIME-PRIME,PRIME,PRIME,"int is_prime(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
PRIME-ADD,PRIME,ADD,"int add(int a) {
    if (a <= 1) return 0;
    for (int i = 2; b < a; b++) {
        if (a% b == 0) return 0;
    }
    return 1;
}",Orange
PRIME-FLOOP,PRIME,FLOOP,"int sum_to_n(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
PRIME-WLOOP,PRIME,WLOOP,"int count_down(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
PRIME-FIB,PRIME,FIB,"int fibonacci(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
PRIME-FACT,PRIME,FACT,"int factorial(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
PRIME-SWAP,PRIME,SWAP,"int swap(int a) {
    if (a <= 1) return 0;
    for (int b = 2; b < a; b++) {
        if (a % b == 0) return 0;
    }
    return 1;
}",Orange
PRIME-MAX,PRIME,MAX,"int max(int a) {
    if (a <= 1) return 0;
    for (int b = 2; b < a; b++) {
        if (a % b == 0) return 0;
    }
    return 1;
}",Orange
PRIME-MALLOC,PRIME,MALLOC,"int allocate_array(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
FACT-FACT,FACT,FACT,"int factorial(int n) {
    if (n == 0) return 1;
    return n * factorial(n - 1);
}",Purple
FACT-ADD,FACT,ADD,"int add(int a) {
    if (a == 0) return 1;
    return a * add(a - 1);
}",Purple
FACT-FLOOP,FACT,FLOOP,"int sum_to_n(int n) {
    if (n == 0) return 1;
    return n * sum_to_n(n - 1);
}",Purple
FACT-WLOOP,FACT,WLOOP,"int count_down(int n) {
    if (n == 0) return 1;
    return n * count_down(n - 1);
}",Purple
FACT-FIB,FACT,FIB,"int fibonacci(int n) {
    if (n == 0) return 1;
    return n * fibonacci(n - 1);
}",Purple
FACT-PRIME,FACT,PRIME,"int is_prime(int n) {
    if (n == 0) return 1;
    return n * is_primel(n - 1);
}",Purple
FACT-SWAP,FACT,SWAP,"int swap(int a) {
    if (a == 0) return 1;
    return a * swap(a - 1);
}",Purple
FACT-MAX,FACT,MAX,"int max(int a) {
    if (a == 0) return 1;
    return a * max(a - 1);
}",Purple
FACT-MALLOC,FACT,MALLOC,"int allocate_array(int n) {
    if (n == 0) return 1;
    return n * allocate_array(n - 1);
}",Purple
SWAP-SWAP,SWAP,SWAP,"void swap(int* a, int* b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}",Black
SWAP-ADD,SWAP,ADD,"void add(int* a, int* b) {
    int n= *a;
    *a = *b;
    *b = n;
}",Black
SWAP-FLOOP,SWAP,FLOOP,"void sum_to_n(int* n, int* b) {
    int a = *n;
    *n = *b;
    *b = a;
}",Black
SWAP-WLOOP,SWAP,WLOOP,"void count_down(int* n, int* b) {
    int a = *n;
    *n = *b;
    *b = a;
}",Black
SWAP-FIB,SWAP,FIB,"void fibonacci(int* n, int* b) {
    int a = *n;
    *n = *b;
    *b = a;
}",Black
SWAP-PRIME,SWAP,PRIME,"void is_prime(int* a, int* b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}",Black
SWAP-FACT,SWAP,FACT,"void factorial(int* n, int* b) {
    int a = *n;
    *n = *b;
    *b = a;
}",Black
SWAP-MAX,SWAP,MAX,"void max(int* a, int* b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}",Black
SWAP-MALLOC,SWAP,MALLOC,"void allocate_array(int* n, int* b) {
    int arr = *n;
    *n = *b;
    *b = arr;
}",Black
MAX-MAX,MAX,MAX,"int max(int a, int b) {
    return (a > b) ? a : b;
}",Lime
MAX-ADD,MAX,ADD,"int add(int a, int b) {
    return (a > b) ? a : b;
}",Lime
MAX-FLOOP,MAX,FLOOP,"int sum_to_n(int n, int b) {
    return (n> b) ? n : b;
}",Lime
MAX-WLOOP,MAX,WLOOP,"int count_down(int n, int b) {
    return (n> b) ? n : b;
}",Lime
MAX-FIB,MAX,FIB,"int fibonacci(int n, int b) {
    return (n> b) ? n : b;
}",Lime
MAX-PRIME,MAX,PRIME,"int is_prime(int n, int b) {
    return (n> b) ? n : b;
}",Lime
MAX-FACT,MAX,FACT,"int factorial(int n, int b) {
    return (n> b) ? n : b;
}",Lime
MAX-SWAP,MAX,SWAP,"int swap(int a, int b) {
    return (a > b) ? a : b;
}",Lime
MAX-MALLOC,MAX,MALLOC,"int allocate_array(int n, int b) {
    return (n> b) ? n : b;
}",Lime
MALLOC-MALLOC,MALLOC,MALLOC,"int* allocate_array(int n) {
    int* arr = (int*)malloc(n * sizeof(int));
    return arr;
}",deepskyblue
MALLOC-ADD,MALLOC,ADD,"int* add(int a) {
    int* b = (int*)malloc(a * sizeof(int));
    return b;
}",deepskyblue
MALLOC-FLOOP,MALLOC,FLOOP,"int* sum_to_n(int n) {
    int* sum = (int*)malloc(n * sizeof(int));
    return sum;
}",deepskyblue
MALLOC-WLOOP,MALLOC,WLOOP,"int* count_down(int n) {
    int* arr = (int*)malloc(n * sizeof(int));
    return arr;
}",deepskyblue
MALLOC-FIB,MALLOC,FIB,"int* fibonacci(int n) {
    int* fibonaci = (int*)malloc(n * sizeof(int));
    return fibonaci;
}",deepskyblue
MALLOC-PRIME,MALLOC,PRIME,"int* is_prime(int n) {
    int* arr = (int*)malloc(n * sizeof(int));
    return arr;
}",deepskyblue
MALLOC-FACT,MALLOC,FACT,"int* factorial(int n) {
    int* factor = (int*)malloc(n * sizeof(int));
    return factor;
}",deepskyblue
MALLOC-SWAP,MALLOC,SWAP,"int* swap(int a) {
    int* b = (int*)malloc(a * sizeof(int));
    return b;
}",deepskyblue
